Equipment_ID,OrderType,WorkOrderDescription,OperationDescription,Maintenance_activity_type,CreatedDate,ActualStartDate,ActualFinishDate,OrderStatus,MaintenanceWorkCenter
P-101,CM,Centrifugal Pump P-101 low flow alarm active. Flow 38.4 m3/h below minimum process requirement.,Inspect impeller for wear and blockage. Remove any debris. Check wear ring clearance. Trim impeller if required. Verify system curve against pump curve.,CM03,2023-02-09,2023-02-10,2023-02-10,PCNF,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 cavitating intermittently. Suction pressure 215.30 bar below minimum NPSH required.,Check suction strainer differential pressure. Clean strainer basket. Verify suction vessel level. Adjust operating point to restore positive NPSH.,CM03,2021-09-27,2021-09-28,2021-09-28,OPEN,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 motor overload trip. Overcurrent detected phase A 230.0 A above FLC.,Megger test motor windings. Check VFD parameters. Inspect terminal connections for heat damage. Replace overload relay if tripped beyond reset.,CM01,2021-09-27,2021-09-27,2021-09-27,CLSD,MECH_TEAM_B
P-101,PDM,,Vibration analysis confirms bearing fault. Replace drive end bearing proactively. Re-baseline vibration signature after repair.,PDM2,2023-02-10,2023-02-17,2023-02-17,PCNF,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 mechanical seal failure. Product leakage observed at gland area estimated 60.6 L/h.,"Replace complete mechanical seal cartridge. Flush seal chamber, pressure test at 19.1 bar. Return to service and monitor seal flush flow.",CM03,2023-02-09,2023-02-10,2023-02-10,CLD,MECH_TEAM_B
P-101,PM,-,"Full pump disassembly. Measure all wear components against tolerances. Replace impeller, wear rings, bearings and mechanical seal. Reassemble, align, and performance test.",PM02,2023-02-10,2023-02-21,2023-02-21,CLSD,  MECH_TEAM_B  
P-101,CM,Centrifugal Pump P-101 bearing temperature high alarm drive end. Temperature 114 degC above baseline.,Remove bearing housing end cover. Measure bearing clearance. Replace worn bearing. Re-grease per lubrication schedule. Monitor temperature for 2 hours post start.,CM02,2020-12-13,2020-12-12,2020-12-13,OPEN,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 high vibration alarm on drive end bearing. Amplitude 203.2 mm/s RMS exceeding trip setpoint.,-,CM01,2020-05-16,2020-05-16,2020-05-16,TECO,MECH_TEAM_B
P-101,PM,Centrifugal Pump P-101 quarterly lubrication service. Bearing grease replenishment and vibration baseline measurement.,Grease drive end and non-drive end bearings. Measure and record vibration signature. Check motor current at duty point. Inspect coupling spider for wear.,PM01,2023/12/19,2024-02-05,2024-02-05,REL,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 motor overload trip. Overcurrent detected phase A 230.0 A above FLC.,Megger test motor windings. Check VFD parameters. Inspect terminal connections for heat damage. Replace overload relay if tripped beyond reset.,CM01,2021-08-03,2021-08-04,2021-08-04,CLSD,MECH_TEAM_B
P-101,PM,"Centrifugal Pump P-101 six-monthly planned maintenance. Bearing inspection, mechanical seal check and coupling alignment verification.",Inspect bearing condition and clearances. Replenish grease per lubrication schedule Castrol Tribol 800. Check coupling alignment. Verify seal flush flow rate. Update maintenance record.,PM01,2021-11-19,2021-12-03,2021-12-03,CLD,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 mechanical seal failure. Product leakage observed at gland area estimated 60.6 L/h.,"Replace complete mechanical seal cartridge. Flush seal chamber, pressure test at 19.1 bar. Return to service and monitor seal flush flow.",CM03,2021-09-28,2021-09-29,2021-09-29,CLSD,MECH_TEAM_B
P-101,PDM,Centrifugal Pump P-101 vibration trending upward over 30 days. Broadband velocity 265.4 mm/s. Bearing defect frequency identified in spectrum.,Vibration analysis confirms bearing fault. Replace drive end bearing proactively. Re-baseline vibration signature after repair.,,2021-09-28,2021-10-05,2021-10-05,PCNF,MECH_TEAM_B
P-101,PM,"Centrifugal Pump P-101 annual overhaul. Full disassembly, wear measurement, impeller and seal replacement.","Full pump disassembly. Measure all wear components against tolerances. Replace impeller, wear rings, bearings and mechanical seal. Reassemble, align, and performance test.",PM02,2020-05-16,2020-05-26,2020-05-26,CLSD,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 Low Flow Alarm Active. Flow 38.4 M3/H Below Minimum Process Requirement.,Inspect impeller for wear and blockage. Remove any debris. Check wear ring clearance. Trim impeller if required. Verify system curve against pump curve.,CM03,2020-05-15,2020-05-17,2020-05-17,PCNF,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 high vibration alarm on drive end bearing. Amplitude 203.2 mm/s RMS exceeding trip setpoint.,-,CM01,2020-05-16,2020-05-16,2020-05-16,TECO,MECH_TEAM_B
P-101,PM,  Centrifugal Pump P-101 quarterly lubrication service. Bearing grease replenishment and vibration baseline measurement.  ,Grease drive end and non-drive end bearings. Measure and record vibration signature. Check motor current at duty point. Inspect coupling spider for wear.,PM01,2023-02-10,2023-03-30,2023-03-30,REL,MECH_TEAM_B
P-101,CM,centrifugal pump p-101 cavitating intermittently. suction pressure 215.30 bar below minimum npsh required.,Check suction strainer differential pressure. Clean strainer basket. Verify suction vessel level. Adjust operating point to restore positive NPSH.,CM03,2020-05-15,,2020-05-15,OPEN,MECH_TEAM_B
P-101,PDM,Centrifugal Pump P-101 vibration trending upward over 30 days. Broadband velocity 265.4 mm/s. Bearing defect frequency identified in spectrum.,Vibration analysis confirms bearing fault. Replace drive end bearing proactively. Re-baseline vibration signature after repair.,PDM2,2020-06-24,2020-07-02,2020-07-02,  PCNF  ,MECH_TEAM_B
P-101,CM,centrifugal pump p-101 cavitating intermittently. suction pressure 215.30 bar below minimum npsh required.,Check suction strainer differential pressure. Clean strainer basket. Verify suction vessel level. Adjust operating point to restore positive NPSH.,CM03,2020-05-15,,2020-05-15,OPEN,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 motor overload trip. Overcurrent detected phase A 230.0 A above FLC.,Megger test motor windings. Check VFD parameters. Inspect terminal connections for heat damage. Replace overload relay if tripped beyond reset.,CM01,2023-02-09,10/02/2023,2023-02-10,CLSD,MECH_TEAM_B
P-101,PM,Centrifugal Pump P-101 quarterly lubrication service. Bearing grease replenishment and vibration baseline measurement.,GREASE DRIVE END AND NON-DRIVE END BEARINGS. MEASURE AND RECORD VIBRATION SIGNATURE. CHECK MOTOR CURRENT AT DUTY POINT. INSPECT COUPLING SPIDER FOR WEAR.,PM01,2021-09-27,2021-11-16,2021-11-16,REL,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 bearing temperature high alarm drive end. Temperature 114 degC above baseline.,Remove bearing housing end cover. Measure bearing clearance. Replace worn bearing. Re-grease per lubrication schedule. Monitor temperature for 2 hours post start.,CM20,,2021-09-28,2021-09-28,OPEN,MECH_TEAM_B
P-101,CM,Centrifugal Pump P-101 high vibration alarm on drive end bearing. Amplitude 203.2 mm/s RMS exceeding trip setpoint.,"Isolate pump, drain casing, disassemble bearing housing. Replace drive end bearing 22316E. Realign coupling to within 0.05mm TIR. Functional test at duty point.",CM01,2021-06-13,2021-06-14,2021-06-14,TECO,MECH_TEAM_B
P-101,PM,"Centrifugal Pump P-101 annual overhaul. Full disassembly, wear measurement, impeller and seal replacement.","FFull pump disassembly. Measure all wear components against tolerances. Replace impeller, wear rings, bearings and mechanical seal. Reassemble, align, and performance test.",PM02,2021-09-27,2021-10-07,2021-10-07,CLSD,MECH_TEAM_B
